type,year,make,model,rating,isAllStarHost,avgDailyPrice.amount,avgDailyPrice.currency,completedTrips,location.locationSlugs.en_CA,location.isDelivery,location.city,isNewListing,tags[0].label,tags[0].type,tags[1].label,tags[1].type,tags[2].label,tags[2].type
CAR,2023,BMW,M2,5.0,True,89.0,USD,99,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2021,BMW,5 Series,5.0,True,59.0,USD,10,los-angeles-ca,True,Los Angeles,False,Free pickup at BUR,FREE_DELIVERY,,,,
CAR,2020,BMW,3 Series,4.9245,True,38.25,USD,69,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,,,,
SUV,2021,BMW,X7,5.0,True,81.33,USD,29,los-angeles-ca,True,Los Angeles,False,Free pickup at BUR,FREE_DELIVERY,,,,
CAR,2020,BMW,4 Series,4.9688,True,43.5,USD,42,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,App unlock,TURO_GO,,
CAR,2021,BMW,5 Series,4.8333,False,55.67,USD,53,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2023,BMW,8 Series,5.0,True,66.3,USD,9,west-hollywood-ca,True,West Hollywood,False,,,,,,
CAR,2024,BMW,3 Series,5.0,True,48.5,USD,17,culver-city-ca,True,Culver City,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2024,BMW,8 Series,5.0,False,61.2,USD,10,glendale-ca,True,Glendale,False,,,,,,
CAR,2018,BMW,M4,4.9524,True,79.0,USD,22,el-segundo-ca,True,El Segundo,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2024,BMW,M3,5.0,False,85.28,USD,2,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,Unlimited miles,UNLIMITED_MILEAGE,,
CAR,2017,BMW,6 Series Gran Coupe,5.0,True,46.55,USD,51,culver-city-ca,True,Culver City,False,Unlimited miles,UNLIMITED_MILEAGE,,,,
CAR,2023,BMW,3 Series,5.0,True,65.34,USD,52,torrance-ca,True,Torrance,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2022,BMW,3 Series,4.75,True,41.5,USD,5,burbank-ca,True,Burbank,False,Free pickup at BUR,FREE_DELIVERY,Unlimited miles,UNLIMITED_MILEAGE,,
CAR,2021,BMW,5 Series,5.0,True,40.0,USD,27,irvine-ca,True,Irvine,False,App unlock,TURO_GO,,,,
CAR,2021,BMW,5 Series,5.0,True,66.5,USD,20,los-angeles-ca,True,Los Angeles,False,Free pickup at BUR,FREE_DELIVERY,,,,
CAR,2021,BMW,3 Series,,True,53.52,USD,1,los-angeles-ca,True,Los Angeles,True,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2021,BMW,3 Series,5.0,True,54.0,USD,24,los-angeles-ca,True,Los Angeles,False,Free pickup at BUR,FREE_DELIVERY,,,,
CAR,2025,BMW,4 Series,5.0,True,71.33,USD,28,los-angeles-ca,True,Los Angeles,False,Free pickup at BUR,FREE_DELIVERY,,,,
CAR,2017,BMW,4 Series,4.9778,True,47.7,USD,77,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2024,BMW,2 Series,5.0,True,49.47,USD,30,culver-city-ca,True,Culver City,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2024,BMW,3 Series,5.0,False,54.47,USD,3,marina-del-rey-ca,True,Marina del Rey,False,Free pickup at LAX,FREE_DELIVERY,,,,
CAR,2023,BMW,4 Series,5.0,True,70.67,USD,24,burbank-ca,True,Burbank,False,,,,,,
CAR,2025,BMW,8 Series,5.0,False,92.0,USD,3,los-angeles-ca,True,Los Angeles,True,Free pickup at BUR,FREE_DELIVERY,Unlimited miles,UNLIMITED_MILEAGE,,
CAR,2022,BMW,2 Series,4.973,True,52.2,USD,50,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,App unlock,TURO_GO,,
CAR,2022,BMW,4 Series,4.8889,False,54.33,USD,56,los-angeles-ca,True,Los Angeles,False,Free pickup at LAX,FREE_DELIVERY,App unlock,TURO_GO,,
